Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
Y	3209	CAD/USD@CME	[001001001001]	1	0.01%	03:40	15:00	8	14:00	CDA Curncy	CD	CAD	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3210	MXN/USD@CME	[001001001001]	1	0.01%	07:05	14:00	8	14:00	PEA Curncy	MP	MXP	GLOBEX	10	Vwap	10	10	70	0		Y	Y	N	N	N		N	
Y	3211	CHF/USD@CME	[001001001001]	1	0.01%	02:05	16:00	8	14:00	SFA Curncy	SF	CHF	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	Y	Y	Y		Y	
Y	3212	NZD/USD@CME	[001001001001]	1	0.01%	02:05	15:00	8	14:00	NVA Curncy	NE	NZD	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3223	Bitcoin@CBF	[111111111111]	1	0.03%	18:30	15:15	8		XBTA Curncy				10	Vwap	10	10	70	0		N	N	N	N	N		N	
Y	3224	Bitcoin@CME	[001001001001]	1	0.03%	18:30	16:00	8		BTCA Curncy				10	Vwap	10	10	70	0		N	N	N	N	N		N	
N	3301	Eurodollar 3Mon@CME	[001001001001]	1	0.01%	07:30	14:00	8		EDA Comdty	ED	GE	GLOBEX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3302	Sterling 90 day@LIF	[001001001001]	1	0.01%	07:40	18:00	8		L A Comdty	FSS	L	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3303	Euribor 3Mon@LIF	[001001001001]	1	0.01%	07:10	21:00	8		ERA Comdty	FEI	I	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3304	Canadian Bank Bill@MSE	[001001001001]	1	0.01%	06:10	16:00	8		BAA Comdty	BAX	BAX	CDE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3305	Australian Bank Bill@SFE	[001001001001]	1	0.01%	08:38	16:30	8		IRA Comdty	YBA	IR	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3306	Swedish IMM@PMI	[001001001001]	1	0.01%	08:40	17:00	8		RAA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	3308	Euroswiss 3 Mon@LIF	[001001001001]	1	0.01%	07:40	18:00	8		ESA Comdty	FES	S	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3309	FedFund 30 Day@CBT	[111111111111]	1	0.01%	07:30	14:00	8		FFA Comdty	FF	ZQ	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3310	Interbank Cash Rate 30 Day@SFE	[111111111111]	1	0.01%	08:44	16:30	8		IBA Comdty	YIB	IB	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3311	New Zeal Bank Bill 3 mon@SFE	[001001001001]	1	0.01%	06:40	04:30	8		ZBA Comdty	NBB			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	3312	Euroyen Tibor 3 Mon@TFX	[001001001001]	1	0.01%	08:55	20:00	8		YEA Comdty	JEY			10	Twap	2	10	70	0		N	N	N	N	N		N	
N	3401	5-year Euro Swapnote@LIF	[001001001001]	1	0.01%	07:10	18:00	8		T A Comdty	FBO	O	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3402	10-Year Swap@CBT	[001001001001]	1	0.01%	07:30	14:00	8		CNPA Comdty	NI	N1U	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3403	2-Year Euro Swapnote@LIF	[001001001001]	1	0.01%	07:10	18:00	8		RWA Comdty	FBS	TWS	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3404	5-Year Swapnote@CBT	[001001001001]	1	0.01%	07:30	14:00	8		CFPA Comdty	IR	F1U	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3405	30-Year Swapnote@CBT	[001001001001]	1	0.01%	07:30	14:00	8		CBPA Comdty	NTT	B1U	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3406	2-Year Swapnote@CBT	[001001001001]	1	0.01%	07:30	14:00	8		CTPA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	3407	10-year Euro Swapnotge@LIF	[001001001001]	1	0.01%	07:10	18:00	8		P A Comdty	FBP	P	ICEEU	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3501	E-Mini@CME	[001001001001]	1	0.01%	08:35	15:00	8	15:15	ESA Index	ES	ES	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3502	Euro Stoxx 50@EUX	[001001001001]	1	0.01%	08:05	22:00	8	17:30	VGA Index	STXE	ESTX50	DTB	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
Y	3503	Nikkei 225@OSE	[001001001001]	1	0.03%	09:10	15:15	8	15:15	NOA Index		N255M	OSE.JPN	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3504	CSI 300 China@CFF	[111111111111]	1	0.03%	09:25	15:15	8		IFBA Index				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	3505	Nasdaq 100 E-mini@CME	[001001001001]	1	0.03%	17:10	16:00	8	16:00	NQA Index	NQ	NQ	GLOBEX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3506	Russell 2000 Mini@NYF	[001001001001]	1	0.03%	03:40	18:00	8	16:15	RTYA Index	TFS	TF	NYBOT	10	Vwap	2	10	70	0	20:00	Y	Y	Y	Y	N		Y	
Y	3507	DJ Industrial Average Mini@CBT	[001001001001]	1	0.03%	17:10	16:00	8	16:00	DMA Index	YM	YM	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3508	CAC 40@EOP	[111111111111]	1	0.03%	08:05	22:00	8	17:30	CFA Index	FCE	CAC40	MONEP	10	Vwap	10	10	70	0		Y	Y	N	N	N		N	
Y	3509	KOSPI200@KFE	[001001001001]	1	0.03%	09:10	15:15	8	15:15	KMA Index	KS	K200	KSE	10	Twap	2	10	70	0		Y	Y	N	N	N		N	
Y	3510	Hang Seng China Enterprises@HKG	[111111111111]	1	0.03%	09:25	16:15	8	16:15	HCA Index	HCEI	HHI.HK	HKFE	10	Vwap	2	10	70	0		Y	Y	Y	Y	N		N	
Y	3511	DAX Index@EUX	[001001001001]	1	0.03%	07:55	22:00	8	17:30	GXA Index	FDX	DAX	DTB	10	Vwap	10	10	70	0		Y	Y	Y	Y	N		Y	
Y	3512	FTSE China A50@SGX	[111111111111]	1	0.03%	09:10	16:00	8	16:00	XUA Index	SFC	XINA50	SGX	10	Vwap	2	10	70	0		Y	Y	N	N	N	liq and gap	N	
Y	3513	Nikkei 225@SGX	[001001001001]	1	0.03%	07:55	14:25	8	14:25	NIA Index	SSI	N225U	SGX	10	Vwap	2	10	70	0		Y	Y	Y	Y	N		Y	
Y	3514	FTSE 100@LIF	[001001001001]	1	0.03%	02:05	17:40	8	17:30	Z A Index	FFI	Z	ICEEU	10	Vwap	10	10	70	0		Y	Y	N	N	Y		N	
Y	3515	Hang Seng@HKG	[111111111111]	1	0.03%	09:25	16:15	8	16:15	HIA Index	HSI	HSI	HKFE	10	Vwap	2	10	70	0		Y	Y	Y	Y	N		N	
Y	3516	MSCI Taiwan@SGX	[111111111111]	1	0.03%	08:55	13:50	8	13:50	TWA Index	STW	STW	SGX	10	Vwap	2	10	70	0		Y	Y	N	Y	N		N	
Y	3517	Nikkei 225@OSE	[001001001001]	1	0.03%	09:10	15:10	8	15:10	NKA Index	JNI	N225	OSE.JPN	10	Vwap	2	10	70	0		Y	Y	N	N	N		Y	
Y	3518	CNX Nifty @SGX	[111111111111]	1	0.03%	09:10	18:15	8	18:15	IHA Index	SIN	NIFTY	SGX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3519	Nikkei 225@CME	[001001001001]	1	0.03%	19:05	15:15	8	15:15	NHA Index	NIY	NIY	GLOBEX	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
N	3520	Euro Stoxx 600 Auto@EUX	[001001001001]	1	0.03%	08:00	22:00	8		EBA Index	FESA	ESA	DTB	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
