Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
N	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	TYA Comdty	ZN	17:00	17:00	20	Vwap	10	08:35	09:25	08:10	09:10	1	CBT	ZN	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3102	Euro Bund@EUX	[001001001001]	1	0.01%	01:10	22:00	8	17:15	RXA Comdty	FGBL	01:10	01:10	20	Vwap	10	08:10	09:10	08:10	09:10	3	EUX	GBL	DTB	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	FVA Comdty	ZF	17:00	17:00	20	Vwap	10	08:35	09:25	08:10	09:10		CBT	ZF	ECBOT	10	Vwap	2	10	70	0		Y	Y	Y	Y	Y		Y	
N	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	01:10	22:00	8	17:15	OEA Comdty	FGBM	01:10	01:10	20	Vwap	10	08:20	09:20	08:20	09:20		EUX	GBM	DTB	10	Vwap	2	10	70	0		Y	Y	Y	Y	Y		N	
N	3105	Euro Schatz@EUX	[001001001001]	1	0.01%	01:10	22:00	8	17:15	DUA Comdty	FGBS	01:10	01:10	12	Vwap	2	08:20	09:20	08:20	09:20		EUX	GBS	DTB	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3106	30-year US Treasury @CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	USA Comdty	ZB	17:00	17:00	20	Vwap	10	08:35	09:25	07:10	08:10	1	CBT	ZB	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3107	Long Gilt@LIF	[001001001001]	1	0.01%	08:00	18:00	8	16:15	G A Comdty	FLG	08:00	08:00	20	Vwap	10	08:10	09:10	08:10	09:10	3	LIF	R	ICEEU	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		N	
N	3108	2-Year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	TUA Comdty	ZT	17:00	17:00	12	Vwap	2	08:35	09:25	07:10	08:10		CBT	ZT	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3109	3-Year Australian @SFE	[001001001001]	1	0.01%	17:10	16:30	8	16:30	YMA Comdty	YTT	17:10	17:10	12	Vwap	2	08:50	09:50	08:50	09:50		SFE	YT	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3110	10-Year Australian@SFE	[001001001001]	1	0.01%	17:12	16:30	8	16:30	XMA Comdty	YTC	17:12	17:12	12	Vwap	2	08:52	09:52	08:52	09:52		SFE	XT	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3111	3-Year Korea@KFE	[001001001001]	1	0.01%	09:00	15:45	8	15:45	KEA Comdty	KTB	09:00	09:00	12	Twap	2	09:20	10:20	09:20	10:20		KFE	3KTB	KSE	10	Twap	2	10	70	0		Y	Y	N	N	N		N	
N	3112	US Treasury Ultra Bond@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	WNA Comdty	AUL	17:00	17:00	20	Vwap	10	08:35	09:25	06:10	07:10	1	CBT	UB	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	20:00	16:30	8	15:00	CNA Comdty	CGB 	20:00	20:00	20	Vwap	10	06:10	07:10	06:10	07:10	1	MSE	CGB	CDE	10	Vwap	10	10	70	0		Y	Y	Y	Y	N		Y	
N	3114	5-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	20:00	16:30	8	15:00	XQA Comdty	CGF	20:00	20:00	12	Vwap	2	08:00	09:00	08:00	09:00		MSE	CGF	CDE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	08:00	19:00	8	17:15	IKA Comdty	FBTP	08:00	08:00	20	Vwap	10	08:10	09:10	08:10	09:10	3	EUX	BTP	DTB	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
N	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	01:10	22:00	8	17:15	OATA Comdty	FOAT	01:10	01:10	20	Vwap	10	08:10	09:10	08:10	09:10	3	EUX	OAT	DTB	10	Vwap	10	10	70	0		Y	Y	N	N	N		N	
